,ID_XMET,Method,Date XRF,Time,Duration,Mg,Al,Si,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Pd,Ag,Cd,In,Sn,Sb,Te,Ba,Ta,W,Au,Hg,Tl,Pb,Th,Σ
0,marmora profesor,Soil_LE_FP,2017-12-18,12:13:05,60.501,0.0,2.2515288158626228,2.2299091976033107,0.0,0.19395886095496942,2.026684785965779,0.0,93.04033603063809,0.0,0.022855025016986844,0.0,0.0,0.0,0.22360862313916857,0.0,0.004323923651862375,0.006794737167212304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,Marmota_1581,Soil_LE_FP,2020-03-02,15:39:16,60.536,10.536130235319169,9.313399707060865,44.245423632574315,1.5976151915396082,1.99701898942451,6.036223795174892,0.0,7.068608410063169,0.0,1.7440847587768822,0.0,0.1884101922171105,0.1309837980139501,16.693659222743435,0.0,0.2832605287099709,0.009678605764577594,0.03226201921525865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045166826901362105,0.0,0.005161923074441384,0.0,0.0,0.027745336525122434,0.0,0.0,0.0,0.0,0.0,0.059362115356075905,0.0,0.0,0.02645485575651209,0.0,0.0,0.0,0.0,99.99999999999997
2,Marmota_1836,Soil_LE_FP,2020-03-02,15:56:35,60.525,0.0,28.898052109256263,40.32321544265014,1.2085762898645496,0.46623434027840843,2.163448438720459,21.502485573982906,1.1661913498392396,0.0,2.071412568951214,0.0,0.4238494002530986,0.0,1.6257651995422422,0.0,0.0,0.0,0.0030274957160935615,0.0,0.0,0.0,0.0,0.0,0.020586970869436217,0.0024219965728748487,0.0,0.02179796915587364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10293485434718108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
3,Marmota_1890,Soil_LE_FP,2020-03-02,15:51:12,60.501,0.0,29.416164053075995,35.391435464414954,1.1513872135102532,0.8745476477683957,2.691194209891435,23.82870928829915,0.8992762364294329,0.0,0.43124246079613987,0.0,0.21351025331724968,0.0,4.858866103739445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04644149577804583,0.013872135102533174,0.0,0.0024125452352231603,0.0,0.0,0.0,0.0,0.01266586248492159,0.0,0.0,0.0,0.0,0.0,0.16525934861278646,0.0030156815440289505,0.0,0.0,0.0,0.0,0.0,0.0,99.99999999999999
4,Marmota_1985A,Soil_LE_FP,2020-03-02,16:01:06,60.5,0.0,19.01113137229621,22.32045827116833,8.57539309768961,2.7217525311131987,14.521743935458916,0.0,11.104357382746064,0.0,0.1639314066788234,0.0,0.10621772792298295,0.0,20.989359807948524,0.0,0.3143553566275564,0.0,0.13323264138316357,0.0,0.0,0.0,0.0,0.0,0.0,0.010437580200524337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027628888766093828,0.0,0.0,0.0,0.0,100.0
5,Marmota_1999,Soil_LE_FP,2020-03-02,15:59:10,60.501,0.0,23.77955771133165,24.164406292880617,6.535405431279317,2.098477837699843,10.985097488591759,0.9152120496537637,5.413409069151482,0.0,0.165299805341928,0.0,0.10211570986373933,0.30953824552445985,25.244918147876312,0.07467211283785939,0.15572645754220246,0.0,0.05616364042505663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999999999999
6,Marmota_2,Soil_LE_FP,2020-03-02,15:53:22,60.5,0.0,29.348581652451962,34.880529983861116,1.0716940987312542,0.5929678008208462,2.4782548250412537,18.739233191689987,9.104866446243024,0.0,0.501695488971766,0.0,0.21820731508290062,0.0,2.766578618100931,0.0,0.0,0.0,0.004231166774460676,0.0,0.0,0.0,0.0,0.0,0.03687159617744304,0.06588531120231625,0.0,0.0030222619817576266,0.0,0.0030222619817576266,0.0,0.0,0.0,0.0,0.0,0.009066785945272878,0.0,0.0,0.1752911949419423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00000000000001
7,Marmota_3,Soil_LE_FP,2020-03-02,15:33:54,60.5,0.0,28.14806773773339,36.79862015728277,1.2929994692912625,0.6489120470883389,2.5896174072465863,23.795049934867567,1.525184541901867,0.0,2.4822695035460995,0.0,0.42577314613788775,0.0,2.0908718097167944,0.0,0.0,0.0,0.004221546774738264,0.0,0.0,0.0,0.0,0.0,0.027741593091137162,0.003618468664061369,0.0,0.030756983644521643,0.0,0.003618468664061369,0.0,0.0,0.0,0.0,0.0,0.009046171660153422,0.0,0.0,0.12363101268876345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999999999999
8,Marmota_5,Soil_LE_FP,2020-03-02,15:42:24,60.5,0.0,34.30413556972387,36.722974789815524,1.0940945187716977,0.654305569664123,2.764814493914061,20.58224232610111,0.6429523223366177,0.0,0.19001750790245764,0.0,0.07588749529437774,0.0,2.7905086852342045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04302283197791494,0.03943759597975536,0.0,0.0,0.0,0.002987696665132982,0.0,0.0,0.0,0.0,0.0,0.009560629328425541,0.0,0.0,0.0830579672906969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999999999994
9,CLP129_2,Soil_LE_FP,2019-06-28,12:15:48,60.506,0.0,24.542318384298483,35.08055062464413,1.1159862008909134,0.493686572663027,2.2654653850018422,10.151723213986667,2.135512610108182,0.0,2.1201058378269746,0.0,0.07368456308403389,0.3014368489801386,21.414073751549047,0.0,0.013397193288006162,0.0,0.02813410590481294,0.0,0.0,0.0,0.0,0.0,0.04421073785042033,0.0026794386576012323,0.0,0.08842147570084066,0.0,0.004689017650802155,0.0,0.0,0.014736912616806777,0.0,0.0,0.017416351274408007,0.0,0.0,0.0917707740228422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999999999999
