id_inv,Mg,Al,Si,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Pd,Ag,Cd,In,Sn,Sb,Te,Ba,Ta,W,Au,Hg,Tl,Pb,Th,xrd1,xrd2,xrd3,Predicted Major Class,prediction_label,top_3_probs
CLP_131,19.685595,1.013071,63.269554,0.6725303,0.39760762,2.9629545,0.000162287,0.934872,0.0001411433,0.00013255682,0.00012455531,0.034412596,0.095399365,10.832284,0.03165389,0.0380535,9.985046e-06,0.013781031,9.100436e-06,8.736193e-06,8.468937e-06,8.034718e-06,7.9409e-06,7.4239447e-06,7.2416083e-06,7.1368604e-06,6.955513e-06,6.829588e-06,0.0038358937,6.2779236e-06,5.9623167e-06,5.88217e-06,5.644602e-06,5.5261253e-06,0.013683303,5.211151e-06,4.972647e-06,4.6112623e-06,3.5065473e-06,3.4514237e-06,3.221352e-06,3.1632171e-06,3.1045588e-06,3.0623055e-06,2.7344843e-06,Talc,,,Silicates,Talc,"{'prediction_score_Talc': 0.9541, 'prediction_score_Variscite': 0.015, 'prediction_score_Clinochlore': 0.0045}"
CLP_133,0.0,25.889153,32.45194,1.2164681,0.5563268,2.4622424,9.730409,1.0777816,0.00014982958,1.770331,0.00013222072,0.06852693,0.34574172,24.174906,0.00011429231,0.000114759656,1.0599548e-05,0.027094826,9.660497e-06,9.273838e-06,8.990134e-06,8.529192e-06,8.429601e-06,0.03688229,0.004689236,7.5760786e-06,0.06962707,7.249896e-06,0.0037209317,6.6642806e-06,6.3292505e-06,6.2441723e-06,5.9919835e-06,5.8662154e-06,0.013731046,0.012170084,5.2786745e-06,0.08762139,3.7223479e-06,3.6638319e-06,3.4196012e-06,3.3578883e-06,3.2956202e-06,3.2507667e-06,2.9027703e-06,Clinochlore,Phlogopite,,Silicates,Muscovite,"{'prediction_score_Muscovite': 0.9511, 'prediction_score_Variscite': 0.0186, 'prediction_score_Chlorite-serpentine': 0.0033}"
CLP_134,20.454433,1.7034092,63.18847,0.6519543,0.38297352,3.0833354,0.00016054946,1.193159,0.00013963215,0.019801775,0.00012322176,0.04515076,0.04638917,9.131083,0.01949198,0.04342133,9.87814e-06,0.022178413,9.003002e-06,8.642659e-06,8.378264e-06,7.948694e-06,7.8558805e-06,7.34446e-06,7.1640757e-06,7.060449e-06,6.881043e-06,6.7564665e-06,0.0033368284,6.2107083e-06,5.8984806e-06,5.8191927e-06,5.584168e-06,5.4669595e-06,0.010840016,5.155357e-06,4.919407e-06,4.5618917e-06,3.469004e-06,3.4144707e-06,3.1868624e-06,3.1293498e-06,3.0713195e-06,3.029519e-06,2.7052072e-06,Talc,,,Silicates,Talc,"{'prediction_score_Talc': 0.9582, 'prediction_score_Variscite': 0.0115, 'prediction_score_Clinochlore': 0.0043}"
CLP_136,0.0,25.601023,33.546024,0.98112804,0.5103399,2.794498,9.971037,2.0892549,0.00014873428,2.0929153,0.00013125416,0.074455656,0.30731067,21.72007,0.0001134568,0.010936391,1.0522062e-05,0.027305832,9.589877e-06,9.206044e-06,8.924414e-06,8.466842e-06,8.367979e-06,0.04302771,0.0030524307,7.520696e-06,0.1048865,7.1968975e-06,0.0035543446,6.615563e-06,6.282982e-06,6.1985256e-06,5.9481804e-06,5.823332e-06,0.016221622,5.491417e-06,5.240086e-06,0.102433324,3.6951367e-06,3.6370484e-06,3.394603e-06,3.3333415e-06,3.2715284e-06,3.2270027e-06,2.8815505e-06,Clinochlore,Phlogopite,,Silicates,Muscovite,"{'prediction_score_Muscovite': 0.9581, 'prediction_score_Variscite': 0.0136, 'prediction_score_Talc': 0.0026}"
CLP_137,0.0,22.339472,33.668243,1.4288857,1.0306021,2.9312673,9.711348,3.1661074,0.00014923487,1.7743765,0.00013169591,0.00012902633,0.32654035,23.364878,0.00011383865,0.000114304145,1.0557475e-05,0.028218638,9.622152e-06,9.237027e-06,8.95445e-06,8.495338e-06,8.396142e-06,0.041053146,0.006508246,7.546007e-06,0.07574891,7.221119e-06,0.0040558004,6.6378284e-06,6.304128e-06,6.219387e-06,5.9681997e-06,5.842931e-06,0.014072146,0.01526242,5.257722e-06,0.07259798,3.707573e-06,3.649289e-06,3.4060279e-06,3.3445601e-06,3.282539e-06,3.2378634e-06,2.8912486e-06,Clinochlore,Phlogopite,,Silicates,Muscovite,"{'prediction_score_Muscovite': 0.9524, 'prediction_score_Variscite': 0.018, 'prediction_score_Talc': 0.0027}"
CLP_138,17.290808,3.031737,63.36842,1.019782,0.5108568,3.7043738,0.8170519,1.4562546,0.00013985467,0.15078588,0.00012341814,0.00012091636,0.07026686,8.357671,0.03296514,0.03427825,9.893883e-06,0.10549131,9.01735e-06,8.656432e-06,8.391617e-06,7.961362e-06,7.868401e-06,7.3561646e-06,7.175493e-06,7.0717015e-06,6.89201e-06,6.7672345e-06,0.0046527917,6.2206063e-06,5.907881e-06,0.014279743,5.5930673e-06,5.4756724e-06,0.011651728,0.014871092,4.9272467e-06,4.569162e-06,3.4745326e-06,0.0032831158,3.1919415e-06,3.1343372e-06,3.0762144e-06,3.034347e-06,2.7095186e-06,Talc,,,Silicates,Talc,"{'prediction_score_Talc': 0.8458, 'prediction_score_Clinochlore': 0.0802, 'prediction_score_Variscite': 0.0274}"
CLP_139,12.579839,1.6957569,64.77638,1.0524088,0.71740496,4.813064,0.00016496508,1.2948532,0.00014347245,0.022906527,0.00012661074,0.033740032,0.12327159,12.789427,0.031629026,0.02340668,1.014982e-05,0.011739473,9.2506125e-06,8.880359e-06,8.608692e-06,8.167308e-06,8.071942e-06,7.5464554e-06,7.36111e-06,7.2546336e-06,7.0702936e-06,6.9422904e-06,0.0038319663,6.3815223e-06,6.060707e-06,0.015247058,5.7377497e-06,5.617318e-06,0.014506763,5.2971454e-06,5.0547055e-06,4.687358e-06,3.5644125e-06,3.5083792e-06,3.274511e-06,3.2154167e-06,3.1557904e-06,3.11284e-06,2.7796088e-06,Talc,,,Silicates,Talc,"{'prediction_score_Talc': 0.9601, 'prediction_score_Variscite': 0.0087, 'prediction_score_Clinochlore': 0.005}"
CLP_141,0.0,5.526326,61.73848,3.0699692,1.7836292,6.6714516,1.2866532,3.0476387,0.00014710405,0.08026802,0.00012981553,0.08114343,0.25121886,16.347273,0.045783,0.040111262,1.0406733e-05,0.013553845,9.484765e-06,9.105139e-06,8.826596e-06,8.374039e-06,8.27626e-06,7.737472e-06,7.547435e-06,7.4382633e-06,7.249257e-06,7.1180143e-06,6.892915e-06,6.5430518e-06,6.214116e-06,0.016062133,5.882984e-06,5.759504e-06,5.570771e-06,5.4312272e-06,5.182651e-06,4.8060047e-06,3.6546353e-06,3.5971836e-06,3.3573958e-06,3.2968057e-06,3.23567e-06,3.1916325e-06,2.8499667e-06,Talc,,,Silicates,Clinochlore,"{'prediction_score_Clinochlore': 0.5186, 'prediction_score_Variscite': 0.4416, 'prediction_score_Talc': 0.0053}"
CLP_142,21.343065,0.0,64.00837,0.68250424,0.43502188,3.0351198,0.00016053733,1.1020774,0.00013962158,0.022160577,0.00012321245,0.03452444,0.10853788,9.094202,0.017573407,0.054539915,9.8773935e-06,0.011616386,9.002321e-06,8.642005e-06,8.37763e-06,7.948093e-06,7.855287e-06,7.3439046e-06,7.163534e-06,7.0599153e-06,6.8805234e-06,6.755956e-06,6.542306e-06,6.210239e-06,5.8980345e-06,0.01646707,0.010441604,5.4665466e-06,0.011156443,0.012062624,4.919035e-06,4.561547e-06,3.4687419e-06,3.4142126e-06,3.1866216e-06,3.1291133e-06,3.0710873e-06,3.02929e-06,2.7050028e-06,Talc,,,Silicates,Talc,"{'prediction_score_Talc': 0.9164, 'prediction_score_Clinochlore': 0.044, 'prediction_score_Variscite': 0.0096}"
CLP_143,14.994142,2.8554084,63.85157,1.0949504,0.6279298,3.290324,0.00016366708,1.571104,0.00014234358,0.039570484,0.00012561453,0.043566152,0.060451962,11.417579,0.04006671,0.040884703,1.0069958e-05,0.02231546,9.177826e-06,8.810485e-06,8.5409565e-06,8.103045e-06,8.008429e-06,7.4870777e-06,7.3031906e-06,7.197552e-06,7.0146625e-06,6.8876666e-06,0.003735117,6.3313105e-06,6.0130196e-06,0.01483048,5.6926033e-06,5.5731193e-06,0.014338714,0.016659828,5.014934e-06,4.6504765e-06,3.5363666e-06,3.4807745e-06,3.2487462e-06,3.190117e-06,3.1309598e-06,3.0883473e-06,2.7577382e-06,Talc,,,Silicates,Talc,"{'prediction_score_Talc': 0.9556, 'prediction_score_Variscite': 0.0093, 'prediction_score_Clinochlore': 0.0065}"
CLP_145,13.596549,0.0,67.34297,1.0046169,0.37767506,3.4679112,0.00016587577,1.5353456,0.00014426452,0.046336945,0.0001273097,0.045775555,0.06835074,12.347656,0.04192798,0.060441956,1.0205852e-05,0.02936191,9.301681e-06,8.9293835e-06,8.656217e-06,8.212396e-06,8.1165035e-06,7.588116e-06,7.401747e-06,7.294683e-06,7.1093255e-06,6.980616e-06,0.004529107,6.4167516e-06,6.0941657e-06,0.01581221,5.769425e-06,5.6483286e-06,0.014149789,5.326389e-06,5.0826106e-06,4.713235e-06,3.58409e-06,3.5277476e-06,3.2925882e-06,3.2331677e-06,3.1732122e-06,3.1300247e-06,2.7949538e-06,Talc,,,Silicates,Talc,"{'prediction_score_Talc': 0.9507, 'prediction_score_Variscite': 0.0117, 'prediction_score_Clinochlore': 0.006}"
CLP_146,14.754961,3.9648902,60.01644,1.3077261,0.86705476,4.09787,0.82062113,2.0996888,0.00014169264,0.052297585,0.0001250401,0.053779885,0.118727796,11.731163,0.03447922,0.028759733,1.00239085e-05,0.01938802,9.135856e-06,8.770195e-06,8.501899e-06,8.065989e-06,7.971807e-06,7.4528393e-06,7.269793e-06,7.1646377e-06,6.982584e-06,6.8561694e-06,0.0034524621,6.3023576e-06,5.985522e-06,0.0147626605,5.6665713e-06,5.5476335e-06,0.013521926,5.231433e-06,4.9920004e-06,4.62921e-06,3.520195e-06,3.4648567e-06,3.2338899e-06,3.1755285e-06,3.116642e-06,3.0742242e-06,2.745127e-06,Talc,,,Silicates,Talc,"{'prediction_score_Talc': 0.9398, 'prediction_score_Variscite': 0.0184, 'prediction_score_Clinochlore': 0.0082}"
CLP_148,0.0,5.4100804,63.647846,3.0658827,1.8754667,9.063031,0.9229513,2.6179,0.00014411198,0.07850004,0.00012717511,0.06578731,0.095047414,13.093768,0.00010993084,0.031458404,1.0195063e-05,0.02586269,9.291847e-06,8.919943e-06,8.647065e-06,8.203713e-06,8.107922e-06,7.5800936e-06,7.393922e-06,7.286971e-06,7.1018094e-06,6.973236e-06,0.005874862,6.4099677e-06,6.087723e-06,6.005891e-06,5.7633256e-06,5.6423573e-06,5.457463e-06,5.3207577e-06,5.077237e-06,4.7082517e-06,3.580301e-06,3.524018e-06,3.289107e-06,3.2297494e-06,3.1698573e-06,3.1267155e-06,2.791999e-06,Talc,,,Silicates,Variscite,"{'prediction_score_Variscite': 0.8188, 'prediction_score_Clinochlore': 0.1171, 'prediction_score_Talc': 0.0094}"
CLP_155,12.328489,2.3939683,65.81052,1.0317185,0.59309125,4.5928154,0.00016435598,1.5860546,0.00014294272,0.033964433,0.00012614326,0.029413525,0.139075,11.336876,0.025187988,0.04872073,1.0112344e-05,0.016315607,9.216456e-06,8.84757e-06,8.576907e-06,8.137152e-06,8.042139e-06,7.518592e-06,7.3339306e-06,7.2278476e-06,7.0441884e-06,6.916658e-06,0.004621569,6.35796e-06,6.0383295e-06,0.014952475,5.7165644e-06,5.5965775e-06,0.013641222,5.277587e-06,5.0360422e-06,4.670051e-06,3.551252e-06,3.4954255e-06,3.2624207e-06,3.2035446e-06,3.1441384e-06,3.1013467e-06,2.7693459e-06,Talc,,,Silicates,Talc,"{'prediction_score_Talc': 0.9059, 'prediction_score_Clinochlore': 0.0409, 'prediction_score_Variscite': 0.0187}"
CLP_156,16.677057,2.0889869,64.41169,1.1275111,0.65170515,4.0988665,0.00016105853,1.4673463,0.00014007489,0.0271,0.00012361247,0.0287023,0.36392272,8.948724,0.028742995,0.02574917,9.909461e-06,0.049505845,9.031549e-06,8.670063e-06,8.40483e-06,7.9738975e-06,7.88079e-06,7.3677475e-06,7.186791e-06,7.0828364e-06,6.9028615e-06,6.77789e-06,0.003806857,6.230401e-06,5.9171834e-06,5.837644e-06,5.601874e-06,5.484294e-06,5.3045796e-06,5.171704e-06,4.935005e-06,4.5763563e-06,3.4800037e-06,3.4252973e-06,3.1969673e-06,3.1392724e-06,3.0810581e-06,3.0391247e-06,2.7137849e-06,Talc,,,Silicates,Talc,"{'prediction_score_Talc': 0.9632, 'prediction_score_Variscite': 0.0074, 'prediction_score_Clinochlore': 0.0041}"
