,Accuracy,Recall,Prec.,F1
0,0.9786,0.9787,0.9797,0.9786
1,0.9755,0.9751,0.9771,0.9755
2,0.9878,0.9875,0.9882,0.9878
3,0.9969,0.9969,0.9971,0.9969
4,0.9817,0.9816,0.9826,0.9816
5,0.9816,0.9818,0.9831,0.9817
6,0.9847,0.9842,0.9857,0.9844
7,0.9847,0.9846,0.9858,0.9842
8,0.9877,0.9883,0.9884,0.9878
9,0.9847,0.9847,0.9858,0.9844
Mean,0.9844,0.9843,0.9853,0.9843
SD,0.0055,0.0056,0.0052,0.0056
