Fold,Accuracy,Recall,Prec.,F1
0,0.9939,0.9939,0.9942,0.9938
1,0.9817,0.9817,0.9826,0.9816
2,0.9694,0.9694,0.9698,0.9689
3,0.9878,0.9878,0.9883,0.9878
4,0.9817,0.9817,0.982,0.9815
5,0.9816,0.9816,0.9819,0.9814
6,0.9693,0.9693,0.9715,0.9692
7,0.9939,0.9939,0.9942,0.9938
8,0.9724,0.9724,0.9736,0.972
9,0.9877,0.9877,0.9883,0.9876
Mean,0.9819,0.9819,0.9826,0.9818
Std,0.0087,0.0087,0.0084,0.0088
