,Accuracy,Recall,Prec.,F1
0,0.9755,0.9756,0.9771,0.9751
1,0.9817,0.9813,0.9827,0.9814
2,0.9847,0.9847,0.9859,0.9848
3,0.9817,0.9813,0.9832,0.9815
4,0.9878,0.9878,0.9882,0.9878
5,0.9908,0.9906,0.9914,0.9909
6,0.9877,0.9877,0.9886,0.9875
7,0.9663,0.9665,0.969,0.9663
8,0.9816,0.9821,0.9822,0.9816
9,0.9816,0.9814,0.9837,0.9817
Mean,0.9819,0.9819,0.9832,0.9819
SD,0.0066,0.0065,0.0061,0.0067
