Fold,Accuracy,Recall,Prec.,F1
0,0.9817,0.9817,0.9834,0.9815
1,0.9541,0.9541,0.956,0.9535
2,0.9633,0.9633,0.9631,0.9625
3,0.9817,0.9817,0.9821,0.9816
4,0.9722,0.9722,0.9737,0.9719
5,1.0,1.0,1.0,1.0
6,0.9815,0.9815,0.9824,0.9815
7,0.9907,0.9907,0.9912,0.9907
8,0.9815,0.9815,0.982,0.9815
9,0.9815,0.9815,0.9815,0.9815
Mean,0.9788,0.9788,0.9795,0.9786
Std,0.0123,0.0123,0.0121,0.0126
