Fold,Accuracy,Recall,Prec.,F1
0,0.9817,0.9817,0.9824,0.9815
1,0.9908,0.9908,0.9913,0.9908
2,0.9817,0.9817,0.9824,0.9811
3,0.9755,0.9755,0.9773,0.9752
4,0.9786,0.9786,0.9794,0.9784
5,0.9877,0.9877,0.9882,0.9876
6,0.9847,0.9847,0.9846,0.9845
7,0.9939,0.9939,0.9942,0.9939
8,0.9724,0.9724,0.9731,0.9719
9,0.9816,0.9816,0.9827,0.9816
Mean,0.9829,0.9829,0.9836,0.9826
Std,0.0063,0.0063,0.006,0.0064
