index,Name,XRD_MIN_,XRD_MIN_2,XRD_MIN_3,XRD_MIN_4,target,Strunz,Mg,Al,Si,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Pd,Ag,Cd,In,Sn,Sb,Te,Ba,Ta,W,Au,Hg,Tl,Pb,Th,suma
1,MP-865,Variscite,,,,Variscite,"Phosphates,Arsenates,Vanadates",0.504349978373619,35.30505924886,8.96929464833498,42.35178558630521,0.26664791433040697,1.0735754405662399,0.724701564914572,2.36985847415839,0.0050434997837361896,0.275845205127151,0.0982127082852323,0.24181561967948198,0.0050434997837361896,7.53341453058205,0.0050434997837361896,0.0050434997837361896,0.00825424066831215,0.016431102079165,0.0005043499783736192,0.0005043499783736192,0.101513543069782,0.0005043499783736192,0.0005043499783736192,0.0005043499783736192,0.0688430237542626,0.0005043499783736192,0.00547341136751165,0.0005043499783736192,0.0033640853169267,0.0005043499783736192,0.0005043499783736192,0.0005043499783736192,0.0005043499783736192,0.0005043499783736192,0.00667028444146729,0.00816006453183336,0.0005043499783736192,0.0364683265510088,0.0005043499783736192,0.0005043499783736192,0.0005043499783736192,0.0005043499783736192,0.0005043499783736192,1E-05,0.0005043499783736192,99.99950565002159
2,MP-1021,Annabergite,,,,Annabergite,"Phosphates,Arsenates,Vanadates",26.414908366759402,1.05984136784945,8.10146031882079,1.64107942653257,0.10285209445130697,1.51572749584642,0.006280834567826479,3.97664996153992,0.006280834567826479,0.0628516463949878,0.006280834567826479,0.0589477511558451,0.066080352036909,0.512071623015739,0.5571785437801711,36.585248715913,0.007511777722513021,0.0163313226755965,0.000628083456782648,0.000628083456782648,18.5830447596789,0.0202810248673026,0.000628083456782648,0.000628083456782648,0.000628083456782648,0.000628083456782648,0.00564575588180491,0.000628083456782648,0.000628083456782648,0.000628083456782648,0.000628083456782648,0.000628083456782648,0.000628083456782648,0.000628083456782648,0.0203699882791104,0.645983009961325,0.000628083456782648,0.000628083456782648,0.000628083456782648,0.000628083456782648,0.000628083456782648,0.0139024405409789,0.000628083456782648,1E-05,0.000628083456782648,99.9993819165432
3,MP-1022,Annabergite,,,,Annabergite,"Phosphates,Arsenates,Vanadates",41.84154902551229,1.3109387044953402,2.45260844384469,0.25543820556496,0.0552588999366597,1.06578529513136,0.0060258514692833704,1.52352794396548,0.0060258514692833704,0.0342413687852817,0.0060258514692833704,0.0060258514692833704,0.0198529090236319,0.19001744896424105,0.383229961258956,30.1286413426546,0.0182067082444592,0.0228573136185726,0.000602585146928337,0.000602585146928337,20.1484230930308,0.0238070387663372,0.000602585146928337,0.000602585146928337,0.000602585146928337,0.000602585146928337,0.000602585146928337,0.000602585146928337,0.000602585146928337,0.000602585146928337,0.000602585146928337,0.0190489974137909,0.000602585146928337,0.000602585146928337,0.0205582498952048,0.42605580896074696,0.000602585146928337,0.000602585146928337,0.000602585146928337,0.00162814166694902,0.000602585146928337,0.0221699904498286,0.000602585146928337,1E-05,0.000602585146928337,99.9994074148531
4,MP-1023,Annabergite,,,,Annabergite,"Phosphates,Arsenates,Vanadates",19.2316938628847,6.81905054868938,11.9556772398525,0.444426520491614,0.10683999251156,1.1671201360888999,0.006450640602487,6.44307585104439,0.006450640602487,0.0894818008241872,0.006450640602487,0.006450640602487,0.0346379369058514,0.52938107048434,0.7791162813449591,31.8939243228208,0.0151251919832966,0.0198314279764437,0.0006450640602487,0.0006450640602487,19.598076227825,0.0257303540512771,0.0006450640602487,0.0006450640602487,0.0006450640602487,0.0006450640602487,0.00509127119375454,0.0006450640602487,0.0006450640602487,0.0006450640602487,0.0006450640602487,0.0123786280218301,0.0006450640602487,0.0006450640602487,0.0006450640602487,0.766278463160086,0.0006450640602487,0.0006450640602487,0.0006450640602487,0.000883443007602369,0.0006450640602487,0.0234755852226707,0.0006450640602487,1E-05,0.0006450640602487,99.9993649359398
5,MP-1024,Annabergite,,,,Annabergite,"Phosphates,Arsenates,Vanadates",21.4457024254381,5.43203050930326,9.358234586998,0.44895166793912894,0.0940893701634473,1.17936536337286,0.00650108880913819,5.23843909382476,0.00650108880913819,0.0719823065753702,0.00650108880913819,0.00650108880913819,0.0278087274772921,0.6998754753431611,0.8688268959797131,32.5113145533645,0.007775198273604991,0.0169040241289919,0.000650108880913819,0.000650108880913819,20.92466916335989,0.0210745556614375,0.000650108880913819,0.000650108880913819,0.000650108880913819,0.000650108880913819,0.000650108880913819,0.000650108880913819,0.000650108880913819,0.000650108880913819,0.000650108880913819,0.0141629356646656,0.000650108880913819,0.000650108880913819,0.000650108880913819,1.5756170397311802,0.000650108880913819,0.000650108880913819,0.000650108880913819,0.00105944998747528,0.000650108880913819,0.0224600156774155,0.000650108880913819,1E-05,0.000650108880913819,99.9993598911191
6,MP-1025,Annabergite,,,,Annabergite,"Phosphates,Arsenates,Vanadates",22.2313416587409,6.08512744343551,13.746662627401301,1.00899629922024,0.0593471825254511,0.7450609718947829,0.00642794145866879,4.72432365902859,0.00642794145866879,0.0772153328751447,0.00642794145866879,0.00642794145866879,0.0293678930089531,1.1502268599960102,0.3840425886340901,30.742147772548105,0.000642794145866879,0.0162222444276591,0.000642794145866879,0.000642794145866879,17.257000625711502,0.0204304530286544,0.000642794145866879,0.000642794145866879,0.000642794145866879,0.000642794145866879,0.000642794145866879,0.000642794145866879,0.000642794145866879,0.000642794145866879,0.000642794145866879,0.000642794145866879,0.000642794145866879,0.000642794145866879,0.000642794145866879,1.66035797319803,0.000642794145866879,0.000642794145866879,0.000642794145866879,0.000642794145866879,0.000642794145866879,0.0209895889896209,0.000642794145866879,1E-05,0.000642794145866879,99.99936720585407
7,MP-1026,Annabergite,,,,Annabergite,"Phosphates,Arsenates,Vanadates",28.8630778522467,2.59595759608517,4.86921510539427,1.59297574106143,0.0832925867895995,0.8954400035228052,0.00640374180449535,6.82732380768207,0.00640374180449535,0.0783962374377813,0.00640374180449535,0.00640374180449535,0.0198157214817469,0.3678611103737321,0.6253463099599671,30.627829351584,0.000640374180449535,0.0180221549713543,0.000640374180449535,0.000640374180449535,19.3128517582919,0.0218131535045681,0.000640374180449535,0.000640374180449535,0.000640374180449535,0.000640374180449535,0.005264849549867921,0.000640374180449535,0.000640374180449535,0.000640374180449535,0.000640374180449535,0.0180470706272975,0.000640374180449535,0.000640374180449535,0.000640374180449535,3.1162492559129302,0.000640374180449535,0.000640374180449535,0.000640374180449535,0.000640374180449535,0.000640374180449535,0.0215171343348615,0.000640374180449535,1E-05,0.000640374180449535,99.99936962581957
8,MP-1027,Annabergite,,,,Annabergite,"Phosphates,Arsenates,Vanadates",22.1404945221431,5.57971515143816,8.09494440788368,2.02093329724554,0.064625632819413,0.905305761865176,0.0064625632819413,8.31080671568578,0.0064625632819413,0.0666953488056281,0.0064625632819413,0.0658735006429127,0.051053050063026,0.631964510389139,0.635696118395699,30.3731555510917,0.00064625632819413,0.0183853895754219,0.00064625632819413,0.00064625632819413,18.2072598184172,0.00064625632819413,0.00064625632819413,0.00064625632819413,0.00064625632819413,0.00064625632819413,0.00064625632819413,0.00064625632819413,0.00064625632819413,0.00064625632819413,0.00064625632819413,0.00064625632819413,0.00064625632819413,0.00064625632819413,0.00064625632819413,2.7750913370261197,0.00064625632819413,0.00064625632819413,0.00064625632819413,0.00064625632819413,0.00064625632819413,0.0224557884616037,0.00064625632819413,1E-05,0.00064625632819413,99.9993637436718
9,MP-1028,Annabergite,,,,Annabergite,"Phosphates,Arsenates,Vanadates",0.6920478670271021,6.441877632589389,10.3697526751296,0.259177221460399,0.24284274809903,3.0024530874123596,1.0338768201200301,7.73947738111226,0.00692047867027102,0.15657714918218202,0.00692047867027102,0.0797247235074302,0.0361530703405254,1.25533976058457,0.9431945544875848,39.196512078115894,0.0006920478670271018,0.0234987192535969,0.0006920478670271018,0.0006920478670271018,27.282695375500804,0.0264652158187417,0.0006920478670271018,0.0006920478670271018,0.0006920478670271018,0.0006920478670271018,0.0006920478670271018,0.0006920478670271018,0.0006920478670271018,0.0006920478670271018,0.0006920478670271018,0.0006920478670271018,0.0006920478670271018,0.0006920478670271018,0.0006920478670271018,1.1681149608361499,0.0006920478670271018,0.0006920478670271018,0.0006920478670271018,0.0006920478670271018,0.0006920478670271018,0.0197688532731706,0.0006920478670271018,1E-05,0.0006920478670271018,99.99931795213301
10,MP-1029,Annabergite,,,,Annabergite,"Phosphates,Arsenates,Vanadates",0.687268541462614,7.364282881464338,10.218852420486801,0.0687268541462614,0.169780625339485,2.810918641090669,1.09265467638539,9.79337951068663,0.00687268541462614,0.163536229286548,0.00687268541462614,0.0560431305446858,0.00687268541462614,0.8225808812133779,1.1836790415973302,38.8785119538246,0.000687268541462614,0.0200777441754909,0.000687268541462614,0.000687268541462614,25.3942249457729,0.0209737395363475,0.000687268541462614,0.000687268541462614,0.000687268541462614,0.000687268541462614,0.000687268541462614,0.000687268541462614,0.000687268541462614,0.000687268541462614,0.000687268541462614,0.000687268541462614,0.000687268541462614,0.000687268541462614,0.000687268541462614,1.19978483223795,0.000687268541462614,0.000687268541462614,0.000687268541462614,0.000687268541462614,0.000687268541462614,0.017610849509536,0.000687268541462614,1E-05,0.000687268541462614,99.99932273145849
