,Name,Duration,Mg,+/-,Al,+/-.1,Si,+/-.2,P,+/-.3,S,+/-.4,Cl,+/-.5,Ar,+/-.6,K,+/-.7,Ca,+/-.8,Sc,+/-.9,Ti,+/-.10,V,+/-.11,Cr,+/-.12,Mn,+/-.13,Fe,+/-.14,Co,+/-.15,Ni,+/-.16,Cu,+/-.17,Zn,+/-.18,Ga,+/-.19,Ge,+/-.20,As,+/-.21,Se,+/-.22,Br,+/-.23,Kr,+/-.24,Rb,+/-.25,Sr,+/-.26,Y,+/-.27,Zr,+/-.28,Nb,+/-.29,Mo,+/-.30,Tc,+/-.31,Ru,+/-.32,Rh,+/-.33,Pd,+/-.34,Ag,+/-.35,Cd,+/-.36,In,+/-.37,Sn,+/-.38,Sb,+/-.39,Te,+/-.40,I,+/-.41,Xe,+/-.42,Cs,+/-.43,Ba,+/-.44,La,+/-.45,Ce,+/-.46,Pr,+/-.47,Nd,+/-.48,Pm,+/-.49,Sm,+/-.50,Eu,+/-.51,Gd,+/-.52,Tb,+/-.53,Dy,+/-.54,Ho,+/-.55,Er,+/-.56,Tm,+/-.57,Yb,+/-.58,Lu,+/-.59,Hf,+/-.60,Ta,+/-.61,W,+/-.62,Re,+/-.63,Os,+/-.64,Ir,+/-.65,Pt,+/-.66,Au,+/-.67,Hg,+/-.68,Tl,+/-.69,Pb,+/-.70,Bi,+/-.71,Po,+/-.72,At,+/-.73,Rn,+/-.74,Fr,+/-.75,Ra,+/-.76,Ac,+/-.77,Th,+/-.78,Pa,+/-.79,U,+/-.80
0,MP-865,60.5,0.0,0.0,18.8877,0.2177,4.9946,0.0688,26.0098,0.0933,0.1695,0.0126,0.7546,0.0145,,,0.5618,0.0111,1.8832,0.0128,,,0.2618,0.0038,0.0992,0.019,0.2493,0.0092,,,8.3415,0.0299,,,,,0.0104,0.0014,0.0213,0.0012,,,,,0.1508,0.0017,,,,,,,,,0.1196,0.0013,,,0.0099,0.001,,,0.0064,0.001,,,,,,,,,,,,,,,0.0157,0.0045,0.0197,0.005,,,,,,,,,0.0993,0.0159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MP-1021,60.531,10.2218,0.6846,0.4553,0.1273,3.6226,0.0696,0.8093,0.024,0.0525,0.0089,0.8555,0.0131,,,,,2.5375,0.0134,,,0.0479,0.0025,,,0.0488,0.0055,0.0578,0.0056,0.4553,0.0066,0.5228,0.0076,34.1881,0.0449,0.0076,0.002,0.017,0.0031,,,,,22.1671,0.0331,0.0255,0.002,,,,,,,,,,,0.0082,0.0017,,,,,,,,,,,,,,,,,,,0.0385,0.0086,1.2523,0.0171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0444,0.005,,,,,,,,,,,,,,,,,,,,,,,,
2,MP-1022,60.532,16.8766,0.7618,0.587,0.1393,1.1431,0.052,0.1313,0.0185,0.0294,0.0092,0.627,0.0123,,,,,1.0133,0.0091,,,0.0272,0.0023,,,,,0.0181,0.0044,0.1761,0.0046,0.3748,0.0063,29.3459,0.0405,0.0192,0.0018,0.0248,0.0027,,,,,25.0514,0.0345,0.0312,0.002,,,,,,,,,,,,,,,,,,,,,,,,,0.0341,0.0061,,,,,0.0405,0.0082,0.8609,0.0153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0509,0.0064,,,,,,,,,,,0.0738,0.0051,,,,,,,,,,,,,,,,,,,,,,,,
3,MP-1023,60.532,7.2462,0.6841,2.8523,0.1682,5.2053,0.0813,0.2134,0.0207,0.0531,0.0093,0.6414,0.0121,,,,,4.0031,0.0169,,,0.0664,0.0028,,,,,0.0295,0.0052,0.4583,0.007,0.7118,0.0086,29.0196,0.0414,0.0149,0.002,0.0201,0.0028,,,,,22.7625,0.0323,0.0315,0.0018,,,,,,,,,,,0.0072,0.0015,,,,,,,,,,,,,0.0207,0.0055,,,,,,,1.4464,0.0176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0258,0.0065,,,,,,,,,,,0.073,0.0047,,,,,,,,,,,,,,,,,,,,,,,,
4,MP-1024,60.53,8.0177,0.6825,2.2545,0.1643,4.0428,0.0761,0.2139,0.0216,0.0464,0.0099,0.6431,0.0127,,,,,3.2294,0.0157,,,0.053,0.0031,,,,,0.0235,0.0056,0.6012,0.0083,0.7876,0.0095,29.3518,0.0431,0.0076,0.0022,0.017,0.0031,,,,,24.1147,0.0342,0.0256,0.0021,,,,,,,,,,,,,,,,,,,,,,,,,0.0235,0.0061,,,,,,,2.951,0.0254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0307,0.0075,,,,,,,,,,,0.0693,0.0052,,,,,,,,,,,,,,,,,,,,,,,,
5,MP-1025,60.532,8.406,0.6915,2.5543,0.1635,6.0062,0.0852,0.4862,0.0233,0.0296,0.0094,0.4109,0.0109,,,,,2.9456,0.0147,,,0.0575,0.0029,,,,,0.0251,0.005,0.9993,0.01,0.3521,0.0069,28.0704,0.0414,,,0.0165,0.0028,,,,,20.1142,0.0299,0.0251,0.0017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1451,0.0241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0655,0.0045,,,,,,,,,,,,,,,,,,,,,,,,
6,MP-1026,60.53,10.9548,0.7152,1.0938,0.1438,2.1355,0.0594,0.7705,0.0246,0.0417,0.0089,0.4957,0.0112,,,,,4.2729,0.0177,,,0.0586,0.0032,,,,,0.017,0.0055,0.3208,0.0067,0.5755,0.0084,28.0717,0.0433,,,0.0184,0.003,,,,,22.5955,0.0326,0.0269,0.002,,,,,,,,,,,0.0075,0.0016,,,,,,,,,,,,,0.0304,0.0056,,,,,,,5.9252,0.0343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0674,0.0052,,,,,,,,,,,,,,,,,,,,,,,,
7,MP-1027,60.5,8.3268,1.4554,2.3296,0.3369,3.5179,0.1419,0.9686,0.0542,0.0,0.0,0.4966,0.0224,,,,,5.154,0.038,,,0.0494,0.0059,,,0.053,0.0173,0.0434,0.0129,0.5461,0.0148,0.5797,0.0153,27.5849,0.0776,,,0.0186,0.006,,,,,21.1081,0.0566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2285,0.0581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0697,0.0108,,,,,,,,,,,,,,,,,,,,,,,,
8,MP-1028,60.528,0.0,0.0,2.5116,0.2395,4.2083,0.105,0.116,0.0284,0.1125,0.015,1.538,0.0231,,,0.5841,0.0164,4.4821,0.0245,,,0.1083,0.0049,,,0.0599,0.009,0.0287,0.0076,1.013,0.0131,0.8032,0.0125,33.2428,0.0581,,,0.0222,0.0044,,,,,29.5366,0.049,0.0302,0.0031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0552,0.0288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0573,0.0076,,,,,,,,,,,,,,,,,,,,,,,,
9,MP-1029,60.532,0.0,0.0,2.8912,0.2509,4.1759,0.1068,0.0,0.0,0.0792,0.0151,1.4499,0.023,,,0.6216,0.017,5.711,0.0279,,,0.1139,0.0052,,,0.0424,0.0097,,,0.6684,0.0112,1.015,0.0138,33.2024,0.0589,,,0.0191,0.0046,,,,,27.6833,0.0478,0.0241,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1256,0.0291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0514,0.0075,,,,,,,,,,,,,,,,,,,,,,,,
10,MP-1030,60.564,0.0,0.0,1.8324,0.2756,5.4279,0.1264,0.3984,0.0395,0.0686,0.0177,1.4102,0.0249,,,,,6.4426,0.032,,,0.1193,0.0068,,,0.0455,0.0119,0.0428,0.0091,0.5482,0.0118,0.58,0.0126,31.6387,0.0653,,,0.0201,0.0051,,,,,22.7437,0.0457,0.0184,0.0031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8662,0.0549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027,0.0079,,,,,,,,,,,,,,,,,,,,,,,,
11,MP-1031,60.5,0.0,0.0,2.2326,0.2995,3.2641,0.1196,0.1548,0.0394,0.1409,0.0198,1.877,0.0304,,,,,9.1585,0.043,,,0.165,0.0087,,,,,0.0887,0.0121,1.2324,0.0203,0.3395,0.0128,28.1289,0.0721,,,0.0255,0.006,,,,,22.8933,0.0509,0.0265,0.0035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.157,0.0702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0465,0.0089,,,,,,,,,,,,,,,,,,,,,,,,
12,MP-824,60.5,0.0,0.0,21.9703,0.2383,3.3202,0.0631,29.808,0.1046,0.1115,0.0131,0.9162,0.0164,,,0.6728,0.0126,0.1609,0.006,,,0.1577,0.0037,0.1926,0.0259,0.1946,0.0429,,,5.7495,0.0262,,,,,0.1762,0.0037,0.01,0.0012,,,,,0.0577,0.0055,0.0101,0.0007,,,,,0.0048,0.0008,,,,,0.0109,0.0009,,,0.0386,0.0012,,,,,,,,,,,,,,,,,0.0202,0.0052,,,,,,,,,0.0527,0.0163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022,0.0046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,VH/C7/C/13,60.536,9.462,1.0249,3.8925,0.2242,26.694,0.2162,0.2013,0.0347,1.0558,0.0265,3.1861,0.0364,,,0.9949,0.0214,1.6493,0.0198,,,0.0808,0.0051,,,,,0.0305,0.0072,1.1744,0.0167,,,,,0.015,0.0015,0.0211,0.0015,,,,,,,,,,,,,0.0032,0.0009,0.0133,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,VH/C7/C/4,60.5,1.0088,0.2964,11.7268,0.1365,23.8591,0.1023,0.0,0.0,0.1094,0.006,0.5153,0.0079,,,3.8796,0.0173,0.7199,0.007,,,0.5183,0.0035,,,,,0.054,0.003,5.4182,0.0177,,,,,,,0.0106,0.0006,,,,,,,,,,,,,0.0186,0.0004,0.0148,0.0004,,,0.0117,0.0005,,,,,,,,,,,,,,,0.0052,0.0016,,,0.0093,0.0021,0.0071,0.0023,,,,,,,,,0.0614,0.0078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0021,0.0007,,,,,,,,,,,,,,,,,,,,
15,VH/C7/C/5,60.534,14.8545,0.9748,4.8801,0.2343,23.9979,0.219,0.0,0.0,0.2713,0.0176,1.8188,0.0292,,,,,0.8029,0.0141,,,0.0252,0.0041,,,,,0.0182,0.0056,0.5468,0.0114,,,,,0.0084,0.0012,0.011,0.0011,,,,,,,,,,,,,,,0.0066,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,VH/C7/C/6,60.501,12.9563,0.7277,3.7516,0.1609,27.0098,0.171,0.1209,0.0222,0.1907,0.0123,1.2303,0.0183,,,0.5738,0.0171,0.7151,0.0132,,,0.0347,0.004,,,0.0235,0.0064,0.0185,0.0056,0.722,0.0123,,,,,0.0141,0.0016,0.0094,0.0011,,,,,,,,,,,,,0.0024,0.0007,0.0057,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,VH/C7/C/7,60.5,13.9952,1.0269,4.5389,0.239,25.2302,0.226,0.3633,0.0366,0.1976,0.0182,1.9239,0.0305,,,8.3503,0.0371,0.4812,0.0099,,,0.1068,0.0035,,,,,0.0135,0.0038,0.5125,0.0086,,,,,,,0.0022,0.0006,,,,,,,,,,,,,0.585,0.0024,0.0078,0.0006,,,,,,,,,,,,,,,,,,,,,,,0.0281,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0065,0.0016,,,,,,,,,,,,,,,0.0038,0.001,,,,,,,,,,,,,,,,,,,,,,
18,VH/C7/C/8,60.5,14.7875,0.7072,3.3543,0.1497,26.2384,0.1652,0.0,0.0,0.2737,0.012,1.0991,0.0168,,,0.5812,0.0173,0.4848,0.0117,,,0.0437,0.0041,,,,,,,0.8736,0.0142,,,,,0.009,0.0013,0.0108,0.0012,,,,,,,,,,,,,0.0034,0.0007,0.0078,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,VH/C7/C/9,60.538,13.2754,0.7208,3.2643,0.1535,27.1029,0.1686,0.3055,0.0248,0.2141,0.0127,1.1369,0.0178,,,0.9829,0.0233,0.6736,0.0156,,,0.1049,0.0055,0.0891,0.0211,0.6454,0.0232,,,0.724,0.0148,,,,,,,,,,,,,0.0146,0.0036,,,,,,,,,0.0036,0.0011,,,0.023,0.0013,,,0.0055,0.0014,,,,,,,,,0.022,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0104,0.0029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,VH01/3b/42,60.501,2.3578,0.5845,17.469,0.3334,14.515,0.1747,14.946,0.1253,0.383,0.0187,2.1937,0.0334,,,0.5083,0.0165,0.3703,0.0109,,,0.1822,0.0057,,,1.1708,0.0273,,,1.5983,0.0197,,,,,,,,,,,,,0.0297,0.0046,,,,,,,,,,,,,,,,,0.006,0.0014,,,,,,,,,0.0288,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019,0.0031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,VH01/3c/21,60.501,0.0,0.0,16.2358,0.2182,18.7805,0.1306,13.8437,0.0823,0.0769,0.0131,0.5897,0.0149,,,0.9106,0.0172,0.9421,0.0132,,,0.0609,0.0038,0.1416,0.0157,0.5917,0.0172,,,1.6952,0.0174,,,,,,,,,,,,,0.0086,0.0024,,,,,,,,,0.0135,0.0008,,,0.0048,0.0009,,,,,,,,,,,,,0.0211,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,VH01/3c/22,60.5,0.0,0.0,13.4711,0.2654,21.463,0.1799,7.8323,0.0826,0.3041,0.0161,1.5745,0.0247,,,0.9113,0.0165,0.8313,0.0124,,,0.0731,0.0038,0.1284,0.0144,0.6439,0.0171,,,1.0656,0.0136,0.0079,0.0024,,,,,,,,,,,0.0073,0.0021,,,,,,,,,0.0132,0.0008,,,0.0045,0.0009,,,0.0055,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0078,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,VH01/3c/23,60.5,0.0,0.0,12.7526,0.2236,22.871,0.1593,7.5777,0.0714,0.2399,0.0144,1.1746,0.0197,,,0.5335,0.0149,1.1044,0.0138,,,0.2515,0.0054,,,1.0733,0.023,,,1.3221,0.016,,,,,,,,,,,,,0.0188,0.0009,,,,,,,,,0.0296,0.001,,,0.0184,0.0011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0174,0.0026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,VH01/3c/26,60.5,0.0,0.0,14.686,0.2508,20.7051,0.1627,10.2427,0.086,0.244,0.0151,1.0061,0.0195,,,,,1.2065,0.0117,,,0.1432,0.0036,,,0.4476,0.0132,,,0.7904,0.0104,,,,,,,,,,,,,0.018,0.0027,,,,,,,,,0.0124,0.0007,,,0.0034,0.0007,,,,,,,,,,,,,,,,,,,0.0121,0.0033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,0.0017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,VH01/3c/27,60.5,0.0,0.0,14.2776,0.2146,19.9431,0.1375,12.446,0.0812,0.1266,0.0136,0.7781,0.0164,,,0.5121,0.0115,0.7709,0.0097,,,0.2499,0.004,0.1413,0.0228,0.5332,0.0132,,,3.6067,0.0207,,,,,,,,,,,,,0.0374,0.0009,,,,,,,,,0.0051,0.0006,,,0.0058,0.0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0228,0.0024,,,,,,,,,,,,,,,0.0042,0.001,,,,,,,,,,,,,,,,,,,,,,
26,VH01/3c/28,60.538,0.0,0.0,19.0173,0.4055,15.588,0.2136,13.6102,0.1419,0.3821,0.027,3.0483,0.0467,,,0.6312,0.0193,1.0036,0.0172,,,0.2183,0.0065,0.1066,0.0334,0.4467,0.0196,,,1.9388,0.0232,,,,,,,,,,,,,0.0329,0.0013,,,,,,,,,0.0105,0.0012,,,0.0146,0.0014,,,0.0062,0.0015,,,,,,,,,0.0295,0.0046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0111,0.0033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,VH01/3c/29,60.5,0.0,35.5721,17.3953,0.2448,15.9021,0.1324,17.908,0.0995,0.1015,0.0145,0.9026,0.0179,,,,,0.7966,0.0136,,,0.1217,0.0051,,,0.6622,0.0218,,,0.8132,0.0144,,,,,,,,,,,,,0.0101,0.0029,,,,,,,,,0.0072,0.001,,,0.0069,0.0012,,,0.0056,0.0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,0.0026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,VH01/3c/30,60.534,0.0,0.0,17.2666,0.3063,17.4112,0.1741,14.671,0.1154,0.2854,0.0176,1.5404,0.0267,,,,,1.5296,0.0162,,,0.0969,0.0044,,,0.605,0.0182,,,0.3267,0.0083,,,,,,,,,,,,,0.0106,0.0025,,,,,,,,,0.0259,0.001,,,0.007,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,VH01/3c/31,60.5,0.0,0.0,14.872,0.2658,20.8395,0.1713,8.5795,0.083,0.1589,0.0147,0.9752,0.02,,,0.6452,0.0158,1.0781,0.0147,,,0.1992,0.0049,0.1448,0.0306,0.7191,0.0197,,,3.0348,0.0247,,,,,,,,,,,,,0.1004,0.0017,,,,,,,,,0.0223,0.001,,,0.018,0.0012,,,0.0067,0.0012,,,,,,,,,0.0216,0.0036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,0.0028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,VH01/3c/32,60.562,0.0,62.037,15.8398,0.2163,16.4419,0.1218,15.7,0.085,0.0993,0.0127,0.7388,0.0153,,,,,1.1429,0.0127,,,0.1979,0.0045,,,0.4349,0.0141,,,1.6846,0.0162,,,,,0.0097,0.0014,,,,,,,0.0204,0.0008,,,,,,,,,0.0069,0.0008,,,0.0027,0.0008,,,0.0063,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034,0.0031,,,,,,,,,,,,,,,0.0098,0.0014,,,,,,,,,,,,,,,,,,,,,,
31,VH01/3c/33,60.501,0.0,39.47,16.1839,0.2264,18.7811,0.1353,14.7777,0.0879,0.0969,0.0134,0.7718,0.0164,,,,,0.8987,0.0144,,,0.1009,0.005,,,0.5796,0.0204,,,0.7379,0.0136,,,,,0.0066,0.0015,,,,,,,0.0254,0.0011,,,,,,,,,0.0268,0.0011,,,0.0107,0.0012,,,0.0101,0.0013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0162,0.0031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,VH01/3c/35,60.567,0.0,0.0,17.323,0.2768,16.8721,0.1544,16.1404,0.1083,0.235,0.0158,1.2779,0.0225,,,0.7314,0.0128,1.3863,0.0123,,,0.1672,0.0036,0.1269,0.0227,0.4545,0.013,,,1.1815,0.0124,,,,,,,,,,,,,0.0093,0.002,,,,,,,,,0.0284,0.0007,,,0.0046,0.0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0093,0.0017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,VH01/3c/36,60.501,1.7419,0.5054,14.1257,0.2583,18.3295,0.162,11.0969,0.0919,0.3294,0.0134,1.3429,0.0216,,,0.7141,0.0208,1.999,0.0224,,,0.2015,0.0064,,,0.4097,0.0191,,,2.6172,0.0278,,,,,,,,,,,,,0.0148,0.004,,,,,,,,,0.0546,0.0015,,,0.014,0.0015,,,0.0051,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0674,0.0188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0204,0.0036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,VH01/3c/37,60.536,0.0,0.0,15.7538,0.3219,17.006,0.1832,15.3415,0.125,0.3284,0.0187,1.9504,0.031,,,0.6767,0.0166,1.5984,0.0169,,,0.2907,0.0058,,,0.5682,0.0187,,,3.1495,0.0258,,,,,,,,,,,,,0.0149,0.0034,,,,,,,,,0.0198,0.001,,,0.015,0.0011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0127,0.0028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,VH01/3c/38,60.501,0.0,0.0,13.2401,0.4401,19.2776,0.2654,11.6253,0.1547,0.3048,0.0376,3.3513,0.0577,,,0.6718,0.015,1.1012,0.0138,,,0.2192,0.0046,0.0937,0.0249,0.4902,0.0162,,,1.9459,0.0186,,,,,,,,,,,,,0.0376,0.001,,,,,,,,,0.0252,0.0009,,,0.0165,0.001,,,0.0076,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0095,0.0021,,,,,,,,,,,,,,,0.0035,0.0011,,,,,,,,,,,,,,,,,,,,,,
36,VH01/3c/39,60.501,0.0,0.0,17.5961,0.3226,17.5912,0.1814,14.4504,0.1186,0.1404,0.0197,1.2593,0.0267,,,1.1044,0.0179,2.3378,0.0176,,,0.265,0.0048,0.0833,0.0228,0.5517,0.0157,,,1.3375,0.0149,,,,,,,,,,,,,0.0195,0.0008,,,,,,,,,0.0285,0.0008,,,0.0091,0.0009,,,,,,,,,,,,,,,,,,,0.0123,0.0037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0111,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,VH01/3c/40,60.501,2.9157,0.3457,12.452,0.1954,22.1301,0.1425,7.3723,0.0622,0.2752,0.0103,0.9371,0.0148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,VH01/3c/41,60.534,0.0,0.0,17.4646,0.3141,17.1061,0.1759,15.5249,0.1205,0.1725,0.0199,1.4865,0.0282,,,,,1.1454,0.0159,,,0.1673,0.0055,,,0.4499,0.0187,,,1.0178,0.016,,,,,,,,,,,,,0.015,0.0035,,,,,,,,,0.0415,0.0013,,,0.0273,0.0014,,,0.0084,0.0014,,,,,,,,,0.0227,0.0042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0134,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,VH01/3c/42,60.501,0.0,0.0,18.4814,0.4462,14.1284,0.2208,16.2295,0.1609,0.2945,0.0336,3.6037,0.0548,,,0.5636,0.0184,0.7872,0.0146,,,0.1219,0.0051,,,0.3384,0.0163,,,0.8115,0.0141,,,,,,,,,,,,,0.0155,0.0033,,,,,,,,,0.0031,0.0009,,,0.0163,0.0011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0095,0.0026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,VH01/3c/43,60.5,0.0,0.0,17.2237,0.2879,16.4034,0.1584,15.6513,0.1104,0.2188,0.0163,1.2264,0.023,,,0.8769,0.0167,1.6084,0.0158,,,0.2301,0.005,0.1142,0.0282,0.5878,0.0182,,,2.2062,0.0205,,,,,,,,,,,,,0.0194,0.0039,,,,,,,,,0.0133,0.0009,,,0.0252,0.0011,,,0.0076,0.0011,,,,,,,,,0.0253,0.0035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0193,0.0027,,,,,,,,,,,,,0.0073,0.0014,0.0066,0.0013,,,,,,,,,,,,,,,,,,,,,,
41,VH01/3c/44,60.537,0.0,63.3354,16.3153,0.2538,17.6345,0.1494,13.8761,0.096,0.2393,0.0135,1.2409,0.0206,,,1.1761,0.0189,2.667,0.0198,,,0.3053,0.0054,0.1872,0.0338,0.661,0.0189,,,1.6326,0.0179,,,,,,,,,,,,,,,,,,,,,,,0.0891,0.0013,,,0.0402,0.0013,,,,,,,,,,,,,,,,,,,,,0.0185,0.0048,,,,,,,,,0.0601,0.0139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0132,0.0027,,,,,,,,,,,,,,,,,0.0492,0.0106,,,,,,,,,,,,,,,,,,,,
42,VH01/3c/45,60.553,0.0,0.0,12.0085,0.2183,25.0875,0.1682,7.2232,0.0706,0.2406,0.013,1.1026,0.0187,,,0.9376,0.0216,2.8555,0.0248,,,0.1896,0.0061,,,0.2857,0.0165,,,1.2279,0.0182,,,,,,,,,,,,,,,,,,,,,,,0.0166,0.0011,,,0.0198,0.0013,,,0.0062,0.0014,,,,,,,,,0.0259,0.0041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
