,Name,Duration,Mg,+/-,Al,+/-.1,Si,+/-.2,P,+/-.3,S,+/-.4,Cl,+/-.5,Ar,+/-.6,K,+/-.7,Ca,+/-.8,Sc,+/-.9,Ti,+/-.10,V,+/-.11,Cr,+/-.12,Mn,+/-.13,Fe,+/-.14,Co,+/-.15,Ni,+/-.16,Cu,+/-.17,Zn,+/-.18,Ga,+/-.19,Ge,+/-.20,As,+/-.21,Se,+/-.22,Br,+/-.23,Kr,+/-.24,Rb,+/-.25,Sr,+/-.26,Y,+/-.27,Zr,+/-.28,Nb,+/-.29,Mo,+/-.30,Tc,+/-.31,Ru,+/-.32,Rh,+/-.33,Pd,+/-.34,Ag,+/-.35,Cd,+/-.36,In,+/-.37,Sn,+/-.38,Sb,+/-.39,Te,+/-.40,I,+/-.41,Xe,+/-.42,Cs,+/-.43,Ba,+/-.44,La,+/-.45,Ce,+/-.46,Pr,+/-.47,Nd,+/-.48,Pm,+/-.49,Sm,+/-.50,Eu,+/-.51,Gd,+/-.52,Tb,+/-.53,Dy,+/-.54,Ho,+/-.55,Er,+/-.56,Tm,+/-.57,Yb,+/-.58,Lu,+/-.59,Hf,+/-.60,Ta,+/-.61,W,+/-.62,Re,+/-.63,Os,+/-.64,Ir,+/-.65,Pt,+/-.66,Au,+/-.67,Hg,+/-.68,Tl,+/-.69,Pb,+/-.70,Bi,+/-.71,Po,+/-.72,At,+/-.73,Rn,+/-.74,Fr,+/-.75,Ra,+/-.76,Ac,+/-.77,Th,+/-.78,Pa,+/-.79,U,+/-.80
300,MinaAlc-01,60.5,17.2678,0.4191,0.8317,0.0629,26.8568,0.1018,,,0.0771,0.0048,0.9278,0.0092,,,,,0.2846,0.0036,,,,,,,,,,,0.7868,0.0051,,,,,,,0.0038,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0042,0.0012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,MinaAlc-02,60.5,,,2.8665,0.112,3.9041,0.0513,,,0.0952,0.0056,2.1181,0.013,,,0.6618,0.0077,51.948,0.0542,,,0.0721,0.0034,,,,,,,0.278,0.0066,,,,,,,,,,,,,,,,,,,,,,,0.0027,0.0005,,,,,,,,,,,,,,,,,,,0.0075,0.0024,,,0.0147,0.0031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0037,0.0009,,,,,,,,,,,,,,,,,,,,,,,,
302,MinaAlc-03,60.501,,,21.8667,0.2437,5.59,0.0825,26.7186,0.1063,0.2259,0.0155,2.1559,0.0239,,,0.8986,0.0149,0.6637,0.0097,,,0.1237,0.0035,0.0775,0.0188,0.1196,0.0322,,,3.4066,0.0186,,,,,,,,,,,,,0.1891,0.0016,,,,,,,,,0.0032,0.0006,,,0.0034,0.0007,,,0.0071,0.0008,,,,,,,,,0.0211,0.0024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0102,0.0019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,MinaAlc-04,60.5,,,16.4155,0.1737,4.0224,0.0541,20.1441,0.0701,0.2187,0.0096,1.9889,0.0165,,,0.7225,0.0104,17.5928,0.0328,,,0.1085,0.0032,0.0549,0.0161,0.2379,0.0088,,,0.9392,0.0094,,,,,0.0049,0.0009,0.0025,0.0006,,,,,0.0743,0.001,,,,,,,,,0.2779,0.0013,,,0.0041,0.0007,,,,,,,,,,,,,,,0.0075,0.0022,,,,,,,,,,,,,,,0.129,0.0111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0191,0.002,,,,,,,,,,,,,,,0.0025,0.0008,,,,,,,,,,,,,,,,,,,,,,
304,MP-779,,0.0,57.0833,20.4011,0.3166,5.9954,0.1046,15.2968,0.0986,0.5334,0.0202,0.7491,0.0189,,,0.6684,0.0154,6.7967,0.03,,,0.1423,0.0045,,,0.1835,0.0117,,,1.8308,0.0186,,,,,7.8183,0.0247,0.1248,0.003,,,,,0.0528,0.0073,0.0059,0.0011,,,,,,,0.2762,0.0026,,,0.0052,0.0016,,,,,,,,,,,,,,,,,,,,,0.0235,0.0075,,,,,,,,,0.2058,0.0262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,GUARDA242,60.501,,,23.564,0.3217,1.9068,0.0719,30.8386,0.1408,0.3371,0.0187,1.9289,0.0279,,,,,0.1744,0.0079,,,0.1901,0.0049,,,0.5641,0.0157,,,4.6164,0.0268,,,,,,,,,,,,,0.3188,0.0027,0.0046,0.0007,,,,,,,,,,,0.0185,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0241,0.003,,,,,,,,,,,,,,,0.0045,0.0013,,,,,,,,,,,,,,,,,,,,,,
306,GUARDA243,60.5,,,26.2479,0.2911,0.2848,0.058,33.3957,0.1261,0.0976,0.0186,0.9354,0.0209,,,,,0.0798,0.0054,,,0.2074,0.0041,0.1362,0.0247,0.5904,0.0136,,,2.6162,0.0174,,,,,,,,,,,,,0.0328,0.0008,,,,,,,,,,,,,0.0194,0.0007,,,,,,,,,,,,,,,,,,,0.0147,0.0035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0136,0.0019,,,,,,,,,,,,,,,0.0038,0.0009,,,,,,,,,,,,,,,,,,,,,,
307,GUARDA244,60.5,,,26.1213,0.2885,1.9648,0.0647,32.7192,0.1299,0.1518,0.0163,1.3314,0.0226,,,,,0.0668,0.0058,,,0.0997,0.0037,0.0964,0.0113,0.5377,0.0135,,,0.7354,0.0096,,,,,,,,,,,,,0.0051,0.0014,,,,,,,,,,,,,0.0066,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0086,0.0016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,GUARDA245,60.533,,,23.2538,0.3582,2.0743,0.0837,32.5435,0.1642,0.7147,0.0258,2.56,0.0363,,,0.5385,0.0188,0.3004,0.0115,,,0.0961,0.0056,0.198,0.0206,0.8338,0.0223,,,2.0112,0.0209,,,,,,,,,,,,,0.0206,0.004,,,,,,,,,0.0255,0.0011,,,0.0148,0.0012,,,0.0248,0.0014,,,,,,,,,0.0264,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0232,0.0033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,GUARDA246,60.501,,,26.3446,0.2528,1.2649,0.0507,34.5497,0.117,0.1748,0.016,0.84,0.0184,,,,,0.1311,0.0055,,,0.2035,0.0038,0.0637,0.0172,0.2683,0.0091,,,0.6234,0.0079,,,,,,,,,,,,,0.0102,0.0005,,,,,,,,,0.002,0.0005,,,0.0231,0.0006,,,,,,,,,,,,,,,,,,,0.0093,0.0027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0138,0.0015,,,,,,,,,,,,,,,0.0022,0.0007,,,,,,,,,,,,,,,,,,,,,,
