Fold,Accuracy,Recall,Prec.,F1
0,0.9694,0.9694,0.9714,0.9689
1,0.9817,0.9817,0.9833,0.9816
2,0.9847,0.9847,0.9858,0.9845
3,0.9817,0.9817,0.9826,0.9816
4,0.9817,0.9817,0.9827,0.9817
5,0.9816,0.9816,0.9824,0.9815
6,0.9816,0.9816,0.9827,0.9814
7,0.9847,0.9847,0.9863,0.9846
8,0.9847,0.9847,0.9849,0.9844
9,0.9877,0.9877,0.9884,0.9877
Mean,0.9819,0.9819,0.983,0.9818
Std,0.0046,0.0046,0.0043,0.0047
