,Accuracy,Recall,Prec.,F1
0,0.9725,0.9725,0.9748,0.9718
1,0.9817,0.9815,0.9823,0.9817
2,0.9817,0.9816,0.983,0.9817
3,0.9786,0.9783,0.9805,0.9785
4,0.9908,0.9911,0.9911,0.9908
5,0.9908,0.9906,0.9914,0.9909
6,0.9908,0.9907,0.9913,0.9907
7,0.9663,0.9662,0.9692,0.9665
8,0.9816,0.9821,0.9822,0.9816
9,0.9816,0.9814,0.9836,0.9817
Mean,0.9816,0.9816,0.9829,0.9816
SD,0.0076,0.0076,0.0069,0.0077
