,Accuracy,Recall,Prec.,F1
0,0.9664,0.9662,0.9673,0.9654
1,0.9847,0.9847,0.9854,0.9846
2,0.9817,0.9818,0.9827,0.9816
3,0.9725,0.9715,0.9741,0.9725
4,0.9786,0.9785,0.9796,0.9786
5,0.9877,0.9876,0.9887,0.9877
6,0.9877,0.9877,0.9884,0.9874
7,0.9755,0.9758,0.9765,0.9755
8,0.9908,0.991,0.9911,0.9908
9,0.9724,0.9728,0.9737,0.9724
Mean,0.9798,0.9798,0.9807,0.9797
SD,0.0076,0.0077,0.0074,0.0078
