Fold,Accuracy,Recall,Prec.,F1
0,0.9786,0.9786,0.9798,0.978
1,0.9878,0.9878,0.9887,0.9877
2,0.9817,0.9817,0.9831,0.9812
3,0.9817,0.9817,0.9826,0.9816
4,0.9847,0.9847,0.9853,0.9846
5,0.9847,0.9847,0.9855,0.9846
6,0.9847,0.9847,0.9853,0.9844
7,0.9785,0.9785,0.9801,0.9785
8,0.9847,0.9847,0.9849,0.9844
9,0.9877,0.9877,0.9887,0.9876
Mean,0.9835,0.9835,0.9844,0.9833
Std,0.0031,0.0031,0.0029,0.0032
