Fold,Accuracy,Recall,Prec.,F1
0,0.9817,0.9817,0.9834,0.9815
1,0.9633,0.9633,0.9652,0.9627
2,0.9633,0.9633,0.9631,0.9625
3,0.9817,0.9817,0.9821,0.9816
4,0.9722,0.9722,0.9737,0.9719
5,1.0,1.0,1.0,1.0
6,0.9815,0.9815,0.9824,0.9815
7,1.0,1.0,1.0,1.0
8,0.9815,0.9815,0.982,0.9815
9,0.9815,0.9815,0.9815,0.9815
Mean,0.9807,0.9807,0.9813,0.9805
Std,0.0119,0.0119,0.0116,0.0122
