Fold,Accuracy,Recall,Prec.,F1
0,0.9878,0.9878,0.9881,0.9877
1,0.9847,0.9847,0.9849,0.9847
2,0.9847,0.9847,0.9861,0.9846
3,0.9755,0.9755,0.9763,0.9754
4,0.9878,0.9878,0.9884,0.9877
5,0.9877,0.9877,0.9883,0.9876
6,0.9785,0.9785,0.9787,0.9783
7,0.9939,0.9939,0.9942,0.9939
8,0.9724,0.9724,0.9738,0.9722
9,0.9877,0.9877,0.9887,0.9877
Mean,0.9841,0.9841,0.9847,0.984
Std,0.0063,0.0063,0.0061,0.0063
