Fold,Accuracy,Recall,Prec.,F1
0,0.9725,0.9725,0.9743,0.9722
1,0.9939,0.9939,0.9945,0.994
2,0.9786,0.9786,0.9801,0.9777
3,0.9786,0.9786,0.98,0.9784
4,0.9908,0.9908,0.9913,0.9907
5,0.9785,0.9785,0.9801,0.9781
6,0.9877,0.9877,0.9884,0.9874
7,0.9816,0.9816,0.982,0.9813
8,0.9785,0.9785,0.9794,0.9784
9,0.9847,0.9847,0.9855,0.9846
Mean,0.9825,0.9825,0.9836,0.9823
Std,0.0063,0.0063,0.0059,0.0064
