Fold,Accuracy,Recall,Prec.,F1
0,0.9817,0.9817,0.9834,0.9815
1,0.9541,0.9541,0.9549,0.9534
2,0.9725,0.9725,0.9724,0.9722
3,0.9817,0.9817,0.9821,0.9816
4,0.9722,0.9722,0.9737,0.9719
5,0.9907,0.9907,0.9912,0.9907
6,0.9815,0.9815,0.9824,0.9815
7,0.9722,0.9722,0.9722,0.9722
8,0.9815,0.9815,0.982,0.9815
9,0.9815,0.9815,0.9815,0.9815
Mean,0.977,0.977,0.9776,0.9768
Std,0.0094,0.0094,0.0094,0.0096
